trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.0, 'a': 0.5}",20,0,-66.54232827957382,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
2,False,"{'e': 0.0, 'a': 0.5}",20,0,9.112191892688267,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,False,"{'e': 0.0, 'a': 0.5}",30,0,-12.151439752200355,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'e': 0.0, 'a': 0.5}",20,0,-105.40133509463523,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
5,False,"{'e': 0.0, 'a': 0.5}",20,0,-8.663117190274615,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
6,False,"{'e': 0.0, 'a': 0.5}",20,0,-20.610332602889525,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'e': 0.0, 'a': 0.5}",30,0,-64.50389217453414,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
8,False,"{'e': 0.0, 'a': 0.5}",20,0,8.510658168050393,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'e': 0.0, 'a': 0.5}",20,0,-37.57016427642875,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'e': 0.0, 'a': 0.5}",30,0,-126.28284390416385,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
11,False,"{'e': 0.0, 'a': 0.5}",25,0,21.865249191558593,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'e': 0.0, 'a': 0.5}",30,0,3.3954663205339575,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'e': 0.0, 'a': 0.5}",20,0,-8.008786951250242,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'e': 0.0, 'a': 0.5}",30,0,1.3800412548098506,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'e': 0.0, 'a': 0.5}",20,0,5.4467578524866385,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'e': 0.0, 'a': 0.5}",25,0,8.07643436058201,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'e': 0.0, 'a': 0.5}",25,0,17.14225842650273,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'e': 0.0, 'a': 0.5}",25,0,25.33505826709122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'e': 0.0, 'a': 0.5}",25,0,10.029564977808189,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'e': 0.0, 'a': 0.5}",30,0,33.69930439769946,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0.0, 'a': 0.0}",30,0,-18.710466568115162,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
2,True,"{'e': 0.0, 'a': 0.0}",25,0,-16.977750320915607,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,True,"{'e': 0.0, 'a': 0.0}",30,0,32.25727134598788,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0.0, 'a': 0.0}",35,0,12.649373915667434,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'e': 0.0, 'a': 0.0}",30,0,49.140406137345224,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0.0, 'a': 0.0}",30,0,24.487194132158052,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0.0, 'a': 0.0}",20,0,13.638992876323046,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': 0.0, 'a': 0.0}",30,0,35.138764342493886,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'e': 0.0, 'a': 0.0}",25,0,32.43848876622413,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0.0, 'a': 0.0}",35,0,16.58888306493786,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,True,"{'e': 0.0, 'a': 0.0}",25,0,2.9721834738045354,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,True,"{'e': 0.0, 'a': 0.0}",20,0,18.721544100674457,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
